date,open,high,low,close
2022-02-24 12:40:00,758.94,762.75,758.94,762.075
2022-02-24 12:39:00,758.64,759.505,758.06,759.1064
2022-02-24 12:38:00,758.9268,759.8299,758.39,758.9711
2022-02-24 12:37:00,757.18,759.6,755.5178,758.99
2022-02-24 12:36:00,756.95,758.13,755.83,757.23
2022-02-24 12:35:00,755.31,757.51,755.12,756.86
2022-02-24 12:34:00,755.91,756.6799,755.0001,755.429
2022-02-24 12:33:00,754.9468,757.18,754.7196,756.2748
2022-02-24 12:32:00,756.4099,756.4099,753.0,754.55
2022-02-24 12:31:00,758.86,759.0099,755.56,756.0
2022-02-24 12:30:00,755.2,760.0,754.99,759.09
2022-02-24 12:29:00,754.0,755.55,753.49,755.2299
2022-02-24 12:28:00,754.16,754.68,753.16,753.735
2022-02-24 12:27:00,752.67,755.8599,752.67,753.63
2022-02-24 12:26:00,752.08,752.9999,750.49,752.93
2022-02-24 12:25:00,752.0259,753.2999,751.67,752.64
2022-02-24 12:24:00,751.27,752.56,750.6049,751.7269
2022-02-24 12:23:00,755.17,755.43,751.39,751.45
2022-02-24 12:22:00,753.51,755.33,752.72,754.75
2022-02-24 12:21:00,757.5421,758.04,753.0,753.7376
2022-02-24 12:20:00,757.95,759.11,756.7667,757.3
2022-02-24 12:19:00,758.21,759.0,757.0,758.0015
2022-02-24 12:18:00,758.97,759.14,757.0,758.232
2022-02-24 12:17:00,757.99,759.36,757.6,758.51
2022-02-24 12:16:00,756.97,759.65,756.61,757.88
2022-02-24 12:15:00,757.9842,758.6699,756.1701,756.91
2022-02-24 12:14:00,758.3496,758.6899,757.09,757.8654
2022-02-24 12:13:00,759.67,760.0,757.33,758.19
2022-02-24 12:12:00,761.2501,761.79,759.17,759.765
2022-02-24 12:11:00,762.51,762.76,761.12,761.26
2022-02-24 12:10:00,761.84,763.5299,761.755,762.82
2022-02-24 12:09:00,762.86,762.99,761.31,761.4801
2022-02-24 12:08:00,762.47,763.86,761.33,762.15
2022-02-24 12:07:00,763.86,764.8,762.0017,762.06
2022-02-24 12:06:00,764.0,764.9999,763.1001,763.56
2022-02-24 12:05:00,765.62,767.3707,763.47,764.05
2022-02-24 12:04:00,765.3736,766.31,764.76,765.9258
2022-02-24 12:03:00,767.22,767.65,765.0,765.32
2022-02-24 12:02:00,766.69,767.88,765.36,766.975
2022-02-24 12:01:00,767.0,767.295,764.13,766.6799
2022-02-24 12:00:00,768.8999,770.77,766.53,767.305
2022-02-24 11:59:00,768.0,769.45,767.05,768.385
2022-02-24 11:58:00,768.23,768.66,766.17,767.79
2022-02-24 11:57:00,769.02,769.02,767.16,768.4
2022-02-24 11:56:00,765.5868,769.99,765.5868,769.01
2022-02-24 11:55:00,766.88,767.27,765.01,765.1628
2022-02-24 11:54:00,765.16,767.55,765.02,766.98
2022-02-24 11:53:00,760.83,765.16,760.5,765.16
2022-02-24 11:52:00,760.82,761.8199,760.33,760.58
2022-02-24 11:51:00,759.29,761.36,759.0,760.9
2022-02-24 11:50:00,758.71,760.7199,758.01,759.43
2022-02-24 11:49:00,756.72,759.4,756.72,758.43
2022-02-24 11:48:00,754.78,760.54,754.5,757.025
2022-02-24 11:47:00,755.3299,756.574,754.56,754.56
2022-02-24 11:46:00,756.39,757.3337,754.0801,754.6
2022-02-24 11:45:00,755.0939,758.5699,755.0939,756.935
2022-02-24 11:44:00,754.68,755.72,753.3903,755.438
2022-02-24 11:43:00,757.9826,758.76,754.5,754.625
2022-02-24 11:42:00,761.85,761.89,757.0301,757.7458
2022-02-24 11:41:00,765.2,765.37,761.2014,762.0
2022-02-24 11:40:00,764.23,765.36,762.8301,765.168
2022-02-24 11:39:00,760.2,764.89,760.1391,764.05
2022-02-24 11:38:00,761.4232,761.9699,760.01,760.14
2022-02-24 11:37:00,759.8932,761.3681,759.0,760.99
2022-02-24 11:36:00,760.71,761.87,759.37,760.33
2022-02-24 11:35:00,761.55,763.2499,759.38,760.5
2022-02-24 11:34:00,759.04,762.0699,758.9024,761.255
2022-02-24 11:33:00,758.57,760.72,758.5,759.7442
2022-02-24 11:32:00,759.2062,761.1401,758.48,758.9052
2022-02-24 11:31:00,763.97,764.5899,759.03,759.164
